description,industry,level,size,line_code,value
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)","Petroleum, coal, chemical, & associated product",2,total,D1506,12
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Non-metallic mineral product,2,total,D1506,3
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Metal product,2,total,D1506,6
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Transport and industrial machinery & equipment,2,total,D1506,3
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Other machinery & equipment,2,total,D1506,6
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Other manufacturing,2,total,D1506,0
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)","Electricity, gas, water, & waste services",1,total,D1506,0
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Construction,1,total,D1506,12
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Wholesale trade,1,total,D1506,30
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Machinery & equipment wholesaling,2,total,D1506,0
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Other wholesale trade,2,total,D1506,27
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Retail trade,1,total,D1506,27
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Accommodation & food services,1,total,D1506,21
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)","Transport, postal, & warehousing",1,total,D1506,6
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Information media & telecommunications,1,total,D1506,9
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Publishing,2,total,D1506,9
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Motion picture,2,total,D1506,0
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Telecommunications,2,total,D1506,0
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Financial & insurance services,1,total,D1506,6
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Finance,2,total,D1506,3
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Insurance,2,total,D1506,0
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Auxiliary,2,total,D1506,6
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)","Rental, hiring, & real estate services",1,total,D1506,24
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)","Professional, scientific, & technical services",1,total,D1506,60
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Computer systems design,2,total,D1506,27
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Other professional scientific,2,total,D1506,39
"For your most recent debt finance, how did you intend to use the finance? product development (including research and development)",Administrative & support services,1,total,D1506,3
